Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1201001;AISI 316;"1/4""-1/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1/4""";;"1/8""";;0,02;;;;;;;;1
1201002;AISI 316;"3/8""-1/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3/8""";;"1/8""";;0,03;;;;;;;;1
1201003;AISI 316;"3/8""-1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3/8""";;"1/4""";;0,02;;;;;;;;1
1201004;AISI 316;"1/2""-1/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1/2""";;"1/8""";;0,05;;;;;;;;1
1201005;AISI 316;"1/2""-1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1/2""";;"1/4""";;0,04;;;;;;;;1
1201006;AISI 316;"1/2""-3/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1/2""";;"3/8""";;0,02;;;;;;;;1
1201007;AISI 316;"3/4""-1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3/4""";;"1/4""";;0,09;;;;;;;;1
1201008;AISI 316;"3/4""-3/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3/4""";;"3/8""";;0,07;;;;;;;;1
1201009;AISI 316;"3/4""-1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3/4""";;"1/2""";;0,05;;;;;;;;1
1201010;AISI 316;"1""-1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1""";;"1/4""";;0,15;;;;;;;;1
1201011;AISI 316;"1""-3/8""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1""";;"3/8""";;0,15;;;;;;;;1
1201012;AISI 316;"1""-1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1""";;"1/2""";;0,12;;;;;;;;1
1201013;AISI 316;"1""-3/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1""";;"3/4""";;0,07;;;;;;;;1
1201015;AISI 316;"1 1/4""-1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/4""";;"1/2""";;0,3;;;;;;;;1
1201016;AISI 316;"1 1/4""-3/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/4""";;"3/4""";;0,19;;;;;;;;1
1201017;AISI 316;"1 1/4""-1""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/4""";;"1""";;0,12;;;;;;;;1
1201020;AISI 316;"1 1/2""-1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/2""";;"1/2""";;0,35;;;;;;;;1
1201021;AISI 316;"1 1/2""-3/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/2""";;"3/4""";;0,36;;;;;;;;1
1201022;AISI 316;"1 1/2""-1""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/2""";;"1""";;0,26;;;;;;;;1
1201023;AISI 316;"1 1/2""-1 1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"1 1/2""";;"1 1/4""";;0,13;;;;;;;;1
1201024;AISI 316;"2""-1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2""";;"1/2""";;0,75;;;;;;;;1
1201025;AISI 316;"2""-1""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2""";;"1""";;0,68;;;;;;;;1
1201026;AISI 316;"2""-1 1/4""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2""";;"1 1/4""";;0,52;;;;;;;;1
1201027;AISI 316;"2""-1 1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2""";;"1 1/2""";;0,4;;;;;;;;1
1201030;AISI 316;"2 1/2""-1 1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2 1/2""";;"1 1/2""";;0,5;;;;;;;;1
1201031;AISI 316;"2 1/2""-2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"2 1/2""";;"2""";;0,54;;;;;;;;1
1201035;AISI 316;"3""-2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3""";;"2""";;1,24;;;;;;;;1
1201036;AISI 316;"3""-2 1/2""";SUPISTUSMUHVI;0;Supistusmuhvi;;"3""";;"2 1/2""";;0,74;;;;;;;;1
1201099;AISI 316;;SUPISTUSMUHVI;0;Supistusmuhvi;;;;;;0;;;;;;;;1
1201101;AISI 316;"1/4""-1/8""";SUPISTUSNIPPA;0;Supistusnippa;;"1/4""";;"1/8""";;0,02;;;;;;;;1
1201102;AISI 316;"3/8""-1/8""";SUPISTUSNIPPA;0;Supistusnippa;;"3/8""";;"1/8""";;0,03;;;;;;;;1
1201103;AISI 316;"3/8""-1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"3/8""";;"1/4""";;0,03;;;;;;;;1
1201104;AISI 316;"1/2""-1/8""";SUPISTUSNIPPA;0;Supistusnippa;;"1/2""";;"1/8""";;0,05;;;;;;;;1
1201105;AISI 316;"1/2""-1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1/2""";;"1/4""";;0,04;;;;;;;;1
1201106;AISI 316;"1/2""-3/8""";SUPISTUSNIPPA;0;Supistusnippa;;"1/2""";;"3/8""";;0,05;;;;;;;;1
1201106N;AISI 316;"1/2""-3/8"" NPT";SUPISTUSNIPPA;0;Supistusnippa;Supistusnippa NPT;"1/2""";;"3/8""";;0,05;;NPT;;;;;;1
1201107;AISI 316;"3/4""-1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"3/4""";;"1/4""";;0,07;;;;;;;;1
1201108;AISI 316;"3/4""-3/8""";SUPISTUSNIPPA;0;Supistusnippa;;"3/4""";;"3/8""";;0,08;;;;;;;;1
1201109;AISI 316;"3/4""-1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"3/4""";;"1/2""";;0,09;;;;;;;;1
1201109N;AISI 316;"3/4""-1/2"" NPT";SUPISTUSNIPPA;0;Supistusnippa;Supistusnippa NPT;"3/4""";;"1/2""";;0,09;;NPT;;;;;;1
1201110;AISI 316;"1""-1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1""";;"1/4""";;0,11;;;;;;;;1
1201111;AISI 316;"1""-3/8""";SUPISTUSNIPPA;0;Supistusnippa;;"1""";;"3/8""";;0,13;;;;;;;;1
1201112;AISI 316;"1""-1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"1""";;"1/2""";;0,12;;;;;;;;1
1201112N;AISI 316;"1""-1/2"" NPT";SUPISTUSNIPPA;0;Supistusnippa;Supistusnippa NPT;"1""";;"1/2""";;0,12;;NPT;;;;;;1
1201113;AISI 316;"1""-3/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1""";;"3/4""";;0,13;;;;;;;;1
1201113N;AISI 316;"1""-3/4"" NPT";SUPISTUSNIPPA;0;Supistusnippa;;"1""";;"3/4""";;0,13;;NPT;;;;;;1
1201114;AISI 316;"1 1/4""-3/8""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"3/8""";;0,19;;;;;;;;1
